Name,Address,Contact
Chabad Lubavitch Of York Mills,2437 Bayview Ave (Bayview Ave & York Mills Rd)Ward: Don Valley West,"Phone:Rivky Gansburg, 416-551-9391"
Chabad Of Midtown,"1034 St Clair Ave W ,1036Ward: Davenport","Phone:Dvora Deitsch, 416-516-2005"
Chabad Of Midtown - Bathurst,1344 Bathurst St (Bathurst / Davenport Rd)Ward: Toronto-St. Paul's,"Phone:Dvora Deitsch, 416-516-2005"
Chabad Of Midtown - St Clair,"546 St Clair Ave W ,544Ward: Toronto-St. Paul's","Phone:Dvora Deitsch, 416-516-2005"
Champions Children's Centre,9 Grenoble Dr (Don Mills / Eglinton)Ward: Don Valley East,"Phone:Annabel Emore, 416-467-5983"
Charlottetown Blvd. Childcare Centre,"111 Island Rd ,Unit #5 (Port Union Rd. / Hwy. 401)Ward: Scarborough-Rouge Park","Phone:Cheryl Hafenbrack, 416-724-0147"
Charlottetown Kindergarten Extended Care Program,85 Charlottetown Blvd (Charlottetown Blvd/Centennial)Ward: Scarborough-Rouge Park,"Phone:Maureen Ramnath, 416-281-0262 ext 230"
Chartland Child Care Inc,109 Chartland Blvd S (Brimley / Huntingwood)Ward: Scarborough North,"Phone:Susan Tom, 416-292-7278"
Cheer Day Care Centre,3300 Kennedy Rd (Kennedy / McNicoll)Ward: Scarborough-Agincourt,"Phone:Petty Yang, 416-292-4720"
Chester Jr YMCA,115 Gowan Ave (Broadview / Gowan)Ward: Toronto-Danforth,"Phone:Sherry Feeney, 416-421-8101"
Chester Le Early Learning & Child Care Centre,201 Chester Le Blvd (Victoria Park / Finch Ave E)Ward: Scarborough-Agincourt,"Phone:Helen Kwak, 416-338-0715"
Children's Circle Of St. Barnabas,361 Danforth AveWard: Toronto-Danforth,"Phone:Michelle Strople, 416-461-5151 ext 6"
Children's Creative Corner Co-Op Nursery School,"125 Evelyn Cres ,Rm. 234 (Runnymede / Bloor)Ward: Parkdale-High Park","Phone:Aislinn Schwartz, 416-769-4938"
Children's Garden Junior School - Early Start,670 Eglinton Ave E (Eglinton E. / Bayview)Ward: Don Valley West,"Phone:Marie Bates, 416-423-5017"
Children's Land Learning Centre Inc.,297 Old Kingston RdWard: Scarborough-Rouge Park,"Phone:Yinna Wu, 416-826-1412"
Children's Magic Moments Child Care And Nursery School,98 Braemar Ave (Avenue Rd. / Eglinton W.)Ward: Toronto-St. Paul's,"Phone:Francesca Adamo, 416-488-0114"
Children's Playgarden /Toronto Military Family Resource Centre,5 Yukon Lane (William R. Allen / Sheppard W.)Ward: York Centre,"Phone:Colleen Marback, 416-633-6200 ext 4312"
Children's Primary Centre,177 Beverley St (Beverley / College)Ward: University-Rosedale,"Phone:Stephanie Ling, 416-977-1204"
Children's Village Day Care Centre #1,1050 Markham Rd (Markham / Ellesmere)Ward: Scarborough-Guildwood,"Phone:Enza Diminno, 416-438-3355"
Children's Village Day Care Centre #3,225 Markham Rd (Markham / Eglinton E.)Ward: Scarborough-Guildwood,"Phone:Sadia Noori, 416-267-9677"
Children Are People Education,"272 Codsell Ave ,3rd Floor (Sheppard / Wilson Heights)Ward: York Centre","Phone:Heather Silverson, 416-633-8831"
Children Of Tomorrow,425 McCowan Rd (McCowan Rd/Eglinton Ave E)Ward: Scarborough Centre,"Phone:Maltee Ramkissoon, 416-261-9893"
Children Of Tomorrow - John McCrae,431 McCowan Rd (Danforth Rd / Eglinton)Ward: Scarborough Centre,"Phone:Nicola Greenland, 416-261-9893"
Childspace Day Care Corporation # 1 (50 Woodmount),50 Woodmount Ave (Danforth Ave. / Woodbine)Ward: Beaches-East York,"Phone:Charlotte Risk, 416-425-7763"
Childspace Day Care Corporation # 2 (690 Carlaw),690 Carlaw Ave (Carlaw / Danforth Ave)Ward: Toronto-Danforth,"Phone:Rochelle Davis, 416-469-0560"
Childspace Day Care Corporation # 3 (49 Felstead Avenue),49 Felstead Ave (Danforth Ave. / Greenwood)Ward: Toronto-Danforth,"Phone:Jannatul Ferdous, 416-469-9766"
Chine Drive Licensed Before And After School Program,51 Chine DrWard: Scarborough Southwest,"Phone:Sanaa Maher, 416-281-0262 ext 230"
Churchill Chums School Age Child Care Centre,188 Churchill Ave (Senlac / Finch)Ward: Willowdale,"Phone:Catherine Di Domenico, 416-221-5923"
Church Street School Day Care Service Inc.,83 Alexander St (Church / Carlton)Ward: Toronto Centre,"Phone:Marteina Slewa, 416-925-1197"
City Kids Early Learning & Child Care Centre,34 Bathurst St (Bathurst / Front St. W.)Ward: Spadina-Fort York,"Phone:Amrit Bains, 416-392-0932"
Clairlea Child Care Centre,25 Rosalind CresWard: Scarborough Southwest,"Phone:Hinna Zafar, 416-389-2925"
Clearview Child Care Centre,"1300 Don Mills Rd ,211-215, 201 (Don Mills Rd / Bond Avenue)Ward: Don Valley East","Phone:Dongzhen Pang, 647-898-1883"
Cliffwood Community Child Care,140 Cliffwood Rd (Don Mills / Steeles E.)Ward: Don Valley North,"Phone:Ashlea Johansen, 416-490-8848"
Cole Street Early Learning & Child Care Centre,10 Cole St (Parliament/Dundas)Ward: Toronto Centre,"Phone:Zorica Macos, 416-392-5866"
Columbus Early Learning Centres,340 Falstaff Ave (Keele / Hwy. 401)Ward: York South-Weston,"Phone:Courtney Scott, 416-819-2186"
Columbus Early Learning Centres - Regina Mundi,60 Playfair Ave (Dufferin / Lawrence)Ward: Eglinton-Lawrence,"Phone:Tina Fraga, 416-789-7011 ext 222"
Columbus Early Learning Centres - St Charles,50 Claver Ave (Lawrence Ave W / Dufferin St)Ward: Eglinton-Lawrence,"Phone:Ana Carina Costa, 416-717-0355"
Columbus Early Learning - St Raphael,3 Gade Dr (Keele St & Wilson St)Ward: York Centre,"Phone:Ronalyn Doria, 416-819-2186"
Community Centre 55-Adam Beck,400 Scarborough Rd (Victoria Park / Gerrard E.)Ward: Beaches-East York,"Phone:Narni Santos, 416-691-1113 ext 231"
Community Centre 55 - Children Services (97 Main Street),97 Main St (Main / Gerrard)Ward: Beaches-East York,"Phone:Narni Santos, 416-691-1113 ext 231"
Community Centre 55 - Kimberly Public School,50 Swanwick Ave (Main / Gerrard)Ward: Beaches-East York,"Phone:Narni Santos, 416-691-1113 ext 231"
Community Centre 55 -Ted Reeves Arena,175 Main St (Main/Gerrard)Ward: Beaches-East York,"Phone:Narni Santos, 416-691-1113 ext 231"
Cottingham Child Care Centre,85 Birch Ave (Yonge / Summerhill)Ward: Toronto-St. Paul's,"Phone:Eric Mackey, 416-929-6841"
Cougar Court Child Care Centre 15,"3225 Eglinton Ave E ,109 (Eglinton E. / Markham)Ward: Scarborough-Guildwood","Phone:Kathy Mitchell, 416-267-0366"
Cougar Court Child Care Centre 25,"3225 Eglinton Ave E ,109 (Eglinton E. / Markham)Ward: Scarborough-Guildwood","Phone:Kathy Mitchell, 416-267-0366"
Courtleigh Place Child Care Centre,135 Fenelon Dr (Don Mills / York Mills)Ward: Don Valley East,"Phone:Maria Hosein, 416-446-2875"
Coxwell Early Learning & Child Care Centre,1631 Queen St E (Queen E. / Coxwell)Ward: Beaches-East York,"Phone:Jordan Oneil, 416-392-5076"
Creative Minds Montessori Academy,"285 Lawson Rd ,Unit 101Ward: Scarborough-Rouge Park","Phone:Mohamed Shaideen, 647-347-6068"
Crestview School Age Program YMCA,101 Seneca Hill Dr (Don Mills / Finch)Ward: Don Valley North,"Phone:Sham Dhanji, 416-225-7773 ext 440"
Curious Caterpillars - College View,28 College View Ave (Avenue Rd/Eglinton Ave W)Ward: Toronto-St. Paul's,"Phone:Marcia Ferreira, 647-344-8681"
Curious Caterpillars - Petman Avenue,87 Petman Ave (Eglinton/ Mt. Pleasant)Ward: Don Valley West,"Phone:Ashley Cammisa, 647-501-7386"
Curlew Montessori School,81 Curlew Dr (Lawrence E. / Victoria Park)Ward: Don Valley East,"Phone:Raihana Mohideen, 416-385-7373"
Dalemount Child Care,101 Englemount Ave (Glencairn Ave. / Bathurst)Ward: Eglinton-Lawrence,"Phone:Nancy Kuipers, 416-781-9493"
Dandylion Childcare Centre,53 Donlands Ave (Donlands / Danforth Ave.)Ward: Toronto-Danforth,"Phone:Patrina Stathopoulos, 416-469-0091"
Danforth Early Learning & Child Care Centre,1125 Danforth Ave (Danforth Ave. / Greenwood Ave.)Ward: Toronto-Danforth,"Phone:Sandrina Barrock-Lavia, 416-392-5070"
Danforth Gardens Playcare,20 Santamonica Blvd (Birchmount Rd / Danforth Rd)Ward: Scarborough Southwest,"Phone:Bridgette Rivaldo, 416-755-9215 ext 252"
Davenport Perth Early Learning & Child Care Centre,1900 Davenport Rd (Old Weston Rd. / Davenport)Ward: Davenport,"Phone:Kathleen Joung, 416-392-5066"
David Lewis Jr YMCA,130 Fundy Bay Blvd (Birchmount / McNicoll)Ward: Scarborough-Agincourt,"Phone:Yvonne Lin, 416-490-1624"
Davisville Care Programme Inc.,50 Davisville AveWard: Toronto-St. Paul's,"Phone:Lizbeth Lascano, 416-487-7479"
Dawes Road Centre For Early Learning,391 Dawes Rd (Dawes Rd/ Victoria Park)Ward: Beaches-East York,"Phone:Sabrina Pallotta, 416-755-8348 ext 221"
Daystrom Childcare Centre,25 Daystrom DrWard: Humber River-Black Creek,"Phone:Eftychia Ntanou, 647-289-1392"
Dearham Wood Daycare,66 Dearham Wood (Galloway Rd. / Guildwood Prky.)Ward: Scarborough-Guildwood,"Phone:Jessica Finlay, 416-283-7207"
Denisa Childcare,1065 College StWard: Davenport,"Phone:Ilda Dukaj, 416-535-2228"
Denlow Community Child Care Centre - North York,50 Denlow Blvd (Leslie / York Mills)Ward: Don Valley West,"Phone:Katherine Cheung, 416-443-9394"
Denton Place Centres For Early Learning Inc.,30 Denton Ave (Danforth Ave. / Victoria Park)Ward: Scarborough Southwest,"Phone:Rose Ganzon, 416-686-6445 ext 221"
Derrydown School Age YMCA,120 Derrydown Rd (Keele / Finch)Ward: Humber River-Black Creek,"Phone:Rockey Persaud, 437-225-8035"
Dewson Street YMCA,65 Concord Ave (College St. / Ossington)Ward: Davenport,"Phone:Maxine Chodorowicz, 416-536-1166 ext 440"
Dian Childcare Centre Inc.,283 Pharmacy Ave (Pharmacy / Danforth Ave.)Ward: Scarborough Southwest,"Phone:Dorothy Amaechi, 416-615-1141"
Discovery Place Child Care Centre Ltd.,"Every Child Belongs Resource Consultation Staff, Bebe Limeback, 416-438-3697, Ext. 14247, is available to help this centre and the family when a child has anextra supportneed.","Phone:Arlene Rottine, 416-439-0521"
Distillery District Early Learning Centre,8 Distillery Lane (Front St. E. / Parliament)Ward: Spadina-Fort York,"Phone:Susana De Sousa, 416-360-4042"
Donald C. Macdonald Child Care Centre,116 Industry St (Black Creek / Trethewey Dr.)Ward: York South-Weston,"Phone:Kelly Costa, 416-769-2328"
Don Mills Children's Centre,33 Kern Rd (Don Mills / York Mills)Ward: Don Valley East,"Phone:Najma Jabeen, 416-386-9744"
Don Valley Christian Child Care,25 Axsmith Cres (Don Mills / Van Horne)Ward: Don Valley North,"Phone:Lisa Mathieu, 416-491-6485"
Dover Gardens Nursery School,228 Bartlett Ave (Dupont St. / Dufferin St.)Ward: Davenport,"Phone:Nikki Pimentel, 416-533-7337"
Downsview Child Care Centre,159 Sir William Hearst Ave (Keele St/Wilson Avenue)Ward: York Centre,"Phone:Daniela Rodriguez-Iacchetta, 647-722-8593"
"Downtown Alternative School, Extended Day Program",85 Lower Jarvis StWard: Spadina-Fort York,nan
"Downtown Kids Academy, Inc.","905 King St W ,Suite 101 (King W. / Strachan Ave.)Ward: Spadina-Fort York","Phone:Tracy Lund-Pedersen, 416-345-9973"
Downtown Montessori At Coatsworth (Formerly Ward Nine -Coatsworth),11 Coatsworth Cres (Coxwell / Danforth Ave.)Ward: Beaches-East York,"Phone:Diana Atkinson, 416-694-9444"
Downtown Montessori At Concord City Place,335 Bremner Blvd (Spadina / Bremner)Ward: Spadina-Fort York,"Phone:Irene Irwin, 416-623-1738"
Downtown Montessori At Infinity Place (Day Care Connection),26 Grand Trunk Cres (Bremner Blvd / Simcoe)Ward: Spadina-Fort York,"Phone:Kayathri Karunan, 416-849-3691"
Downtown Montessori At Simcoe Place,200 Front St W (Front / Simcoe)Ward: Spadina-Fort York,"Phone:Susan Servinos, 416-340-8757"
Dr Eric Jackman Institute Of Child Study Laboratory School Nursery,45 Walmer RdWard: University-Rosedale,"Phone:Chris Bogert, 416-934-4512"
Dublin Heights Community Child Care,100 Bainbridge Ave (Sheppard W / Wilson Heights Bl)Ward: York Centre,"Phone:Regina Wong, 416-638-0612 ext 0"
Dunlace Children's Centre,20 Dunlace Dr (Leslie / York Mills)Ward: Don Valley West,"Phone:Sandra Wright-Weathered, 416-445-7976"
Dunloe Children's Centre,78 Dunloe Rd (Spadina / Eglinton W.)Ward: Toronto-St. Paul's,"Phone:Lisa Cohen, 416-483-6559"
Earl Haig Community Day Care (15 Earl Haig Avenue),15 Earl Haig Ave (Danforth Ave. / Coxwell)Ward: Beaches-East York,"Phone:Kim Smith, 416-694-9572 ext 101"
Early Adventures Nursery School & Child Care,200 Melrose St (Royal York / Evans)Ward: Etobicoke-Lakeshore,"Phone:Jenny Lewis, 416-251-5151"
Early Enrichment Day Care (St. John's West Toronto),288 Humberside Ave (Humberside / High Park)Ward: Parkdale-High Park,"Phone:Theressa Amaral, 416-762-8125"
Early Foundations Learning Centre,"Toronto Children's Services Consultant, Maureen Bailey, 416-397-5389, is the City contact for this centre.Every Child Belongs Resource Consultation Staff, Lu Wei, 416-438-3697, Ext. 12253, is available to help this centre and the family when a child has anextra supportneed.To contact the child care centre directly, please call the child care contact listed at the top of this page.","Phone:Aaida Ilizirov, 416-299-0547"
Early Years Education System (E.Y.E.S),3000 Victoria Park Ave (Victoria Park & Finch Ave. E)Ward: Don Valley North,"Phone:Alyona Gadzevych, 416-498-5437"
East Scarb. Boys' & Girls' Club - Eastside Child Care Centre,20 Waldock St (Galloway Rd. / Kingston Rd.)Ward: Scarborough-Guildwood,"Phone:Bernadette Hussey, 416-287-0007"
East Scarb. Child Care Centre - East Scarb. Boys & Girls Club,230 Morningside Ave (Morningside / Lawrence E.)Ward: Scarborough-Guildwood,"Phone:Shajeda Uzzaman, 416-282-9998"
Eastside Club Day Care - 100 Galloway Road,100 Galloway RdWard: Scarborough-Guildwood,"Phone:Savita Joseph, 416-281-0262 ext 238"
East Toronto Village Children's Centre,43 Kimberley Ave (Gerrard / Main)Ward: Beaches-East York,"Phone:Laurel Costa, 416-694-1733"
East York Montessori School,"486 Cosburn Ave ,484Ward: Toronto-Danforth","Phone:Melissa Petridis, 416-888-3535"
Eco Kids-Child Care Centre Inc.,"1315 Kipling Ave ,601-1 (Kipling Ave / Prince George Dr)Ward: Etobicoke Centre","Phone:Tracy Rocero, 647-425-3245"
"Ecole Bannockburn Public School, Extended Day Program",12 Bannockburn Ave (Wilson / Avenue Road)Ward: Eglinton-Lawrence,nan
Edgeley Early Learning & Child Care Centre,405 Driftwood Ave (Jane / Driftwood)Ward: Humber River-Black Creek,"Phone:Nicola Wright, 416-392-6271"
Educare Kindergarten - Islington,2825 Islington Ave (Islington / Finch W.)Ward: Humber River-Black Creek,"Phone:Crystal Teeluck, 416-749-0415"
Eh To Zed Preschool Canada Early Learning Academy,"Toronto Children's Services Consultant, Lori Foreht, 416-392-5867, is the City contact for this centre.Every Child Belongs Resource Consultation Staff, Diana Burgess, 437-326-3589, is available to help this centre and the family when a child has anextra supportneed.To contact the child care centre directly, please call the child care contact listed at the top of this page.","Phone:Dina Musa, 416-447-6474"
Eitz Chaim Schools Vm,2742 Bathurst StWard: Eglinton-Lawrence,"Phone:Marzel Limor, 416-789-4366"
Elkhorn Junior Y - (YMCA),10 Elkhorn Dr (Bayview / Sheppard)Ward: Don Valley North,"Phone:Christina Hanna, 416-315-5627"
"Ellesmere-Statton Public School, Extended Day Program",739 Ellesmere Rd (Birchmount & Ellesmere)Ward: Scarborough Centre,Phone:416-394-2072 oremail:edp@tdsb.on.ca
Emery Early Learning & Child Care Centre,3395 Weston Rd (Finch / Weston Rd.)Ward: Humber River-Black Creek,"Phone:Amandeep Kaur Dhanoa, 416-392-3370"
Engaging Minds Child Care,"29 Gervais Dr ,104 (Wynford Dr/Don Mills Rd)Ward: Don Valley East","Phone:Kevin Wijesingha, 647-830-4435"
Enjoy Learning Centre,"27 Passmore Ave ,Unit #1 (Steeles E. / Kennedy Rd.)Ward: Scarborough-Agincourt","Phone:Cecilia Ho-Leung, 416-840-8488"
Enquiring Minds Montessori,24 Progress AveWard: Scarborough Centre,"Phone:George Petropoulos, 416-298-9938"
Enriched Child Care Learning Centre,"6030 Bathurst St ,Suite 115 (Bathurst / Steeles W.)Ward: York Centre","Phone:Nadia Yaqub, 416-650-5355"
Epiphany Of Our Lord Jr YMCA,3150 Pharmacy Ave (Pharmacy Ave. / Finch Ave. E.)Ward: Scarborough-Agincourt,"Phone:Ann-Marie Sawyer, 416-493-3008"
Ernie Boccia Creative Child Day Care (Rasheda Alli),1 Northwestern Ave (Keele / Eglinton W.)Ward: York South-Weston,"Phone:Samantha Hamid, 416-653-6305"
Esterbrooke Child Care,"35 Esterbrooke Ave ,Suite 111 (Don Mills / Sheppard E.)Ward: Don Valley North","Phone:Fatemeh Ashtari, 416-492-1109"
Ethennonnhawahstihnen Child Care Centre,100 Ethennonnhawahstihnen Lane (Leslie St / Sheppard Ave E)Ward: Don Valley North,"Phone:Clermont Viviane, 416-221-1116"
Etobicoke Montessori School,4 La Rose Ave (Eglinton W. / Scarlett Rd.)Ward: Etobicoke Centre,"Phone:Saarah Shivji, 647-880-8221"
Eyes Abacus Child Care,"Toronto Children's Services Consultant, Marissa Tapangco, 416-392-6176, is the City contact for this centre.Every Child Belongs Resource Consultation Staff, Elaine Santos, 647-262-8110, is available to help this centre and the family when a child has anextra supportneed.To contact the child care centre directly, please call the child care contact listed at the top of this page.","Phone:Niwsha Parsaeian, 416-497-1474"
Eyet - Crescent Town Centre,2A The Market Pl (Victoria Park Ave/Danforth Av)Ward: Beaches-East York,"Phone:Sara Stringer, 647-696-4777"
"Eyet Early Learning Centre,  Crescent Town Elementary School","4 Massey Sq ,Rms 135 & 136 (Victoria Park/Danforth Ave.)Ward: Beaches-East York","Phone:Christine Bouffard, 416-690-0349"
Eyet Early Learning Centre (Annie's Place),"101 Barrington Ave ,120 (Danforth Ave. / Main)Ward: Beaches-East York","Phone:Razia Chowdhury, 647-258-9988"
Eyet Early Learning Centre (Tom's Place),"80 Sackville St ,Room 105 (Queen / Parliament)Ward: Toronto Centre","Phone:Jinnat Basher, 416-668-7087"
Fairbank Memorial Day Care Centre,555 Harvie Ave (Eglinton / Dufferin)Ward: Davenport,"Phone:Ashraf Rahim, 416-656-8675"
Fairmount Sunshine Child Care,31 Sloley Rd (Kingston Rd. / McCowan)Ward: Scarborough Southwest,"Phone:Kamilah States, 416-265-3572"
Faith Lutheran Day Care Centre Of Downsview,96 Hucknall Rd (Finch / Keele)Ward: Humber River-Black Creek,"Phone:Carron Allen, 416-633-4718"
Falstaff Early Learning & Child Care Centre,10 Falstaff Ave (Jane / Wilson)Ward: York South-Weston,"Phone:Tammy Lynn Borden, 416-392-5688"
Family Day Kennedy Extended Day & School Age Program,20 Elmfield Cres (Warden Ave And Steeles Ave E)Ward: Scarborough-Agincourt,"Phone:Julianne Torio, 416-297-9660"
Family Day Kingslake Before And After School Program,90 Kingslake RdWard: Don Valley North,"Phone:Beth Brown, 437-778-3521"
Family Day Muirhead Extended Day And School Age Program,25 Muirhead RdWard: Don Valley North,"Phone:Beth Brown, 437-778-3521"
Family Day North Agincourt Before And After School Program,60 Moran RdWard: Scarborough North,"Phone:Beth Brown, 437-778-3521"
Family Day Sacred Heart Toronto Before And After School Program,"Every Child Belongs Resource Consultation Staff, Deepa Singh, 416-438-3697, Ext. 14290, is available to help this centre and the family when a child has anextra supportneed.","Phone:Shanthinie Edwards, 416-928-6522"
Family Day St Barnabas Child Care Centre,30 Washburn WayWard: Scarborough North,"Phone:Shanthinie Edwards, 416-928-6522"
Family Day Thomas L Wells Extended Day And School Age Program,69 Nightstar RdWard: Scarborough-Rouge Park,"Phone:Nalini Jeewaraja, 416-396-5757"
Fantasia Child Care Center (2724826 Ontario Inc),678 Sheppard Ave WWard: York Centre,"Phone:Oleksandra Polonska, 416-519-3400"
Faywood Boulevard Child Care Centre,95 Faywood Blvd (Wilson Heights / Wilson Ave.)Ward: York Centre,"Phone:Neyda Alvarez, 416-633-8420"
Fenside Drive Children's Centre,131 Fenside Dr (Victoria Pk / York Mills)Ward: Don Valley East,"Phone:Sue Schanderl, 416-444-2441"
Ferncliff Daycare And After School Group,128 Fern Ave (Roncesvalles / Queen W.)Ward: Parkdale-High Park,"Phone:Dayna Drago, 416-588-1463"
Finch Business Park Child Care,"1183A Finch Ave W ,100 (Finch W. / Keele St.)Ward: York Centre","Phone:Marissa Lazzaro, 416-739-1478"
Finch Flyers Child Care Program,277 Finch Ave E (Finch W. / Bayview)Ward: Willowdale,"Phone:Elana Kuran, 416-225-8778"
"Firgrove Public School, Extended Day Program",270 Firgrove Cres (Jane / Finch)Ward: Humber River-Black Creek,Phone:416-394-2072 oremail:edp@tdsb.on.ca
Firgrove Satellite Early Learning & Child Care Centre,270 Firgrove Cres (Jane / Finch)Ward: Humber River-Black Creek,"Phone:Nicola Wright, 416-392-6259"
First Stage - Burnhamthorpe,"Every Child Belongs Resource Consultation Staff, Yvonne Salerno, 437-771-2198, is available to help this centre and the family when a child has anextra supportneed.","Phone:Ambreen Pirzada, 416-394-7534"
First Stage Child Care Centre - Highfield,85 Mount Olive Dr (Kipling / Finch W.)Ward: Etobicoke North,"Phone:Erica Catic-Kozo, 416-746-6847"
First Stage - North Albion,2580 Kipling Ave (Kipling / Finch W.)Ward: Etobicoke North,"Phone:Carly Buczkowski, 416-394-4688"
First Stage - West Humber,1675 Martin Grove Rd (Martingrove / Finch W.)Ward: Etobicoke North,"Phone:Rita Owusu-Afriyie, 416-394-7515"
Flemingdon Early Learning & Child Care Centre,29 St Dennis Dr (Don Mills / Eglinton)Ward: Don Valley East,"Phone:Aspasia - Stacy Charalambous, 416-392-3170"
Fleming Junior YMCA,22 Littles Rd (Sheppard / Morningside)Ward: Scarborough-Rouge Park,"Phone:Frances Garcia, 416-287-8534"
Follow The Child,"462 Birchmount Rd ,Unit #20 (Birchmount Rd. / Danforth Rd.)Ward: Scarborough Southwest","Phone:Fareeha Aslam, 647-347-7651"
Forest Manor YMCA,25 Forest Manor Rd (Don Mills / Sheppard)Ward: Don Valley North,"Phone:Stephanie Marshall, 647-403-8100"
Frankland Day Care Centre,816 Logan Ave (Logan / Danforth Ave.)Ward: Toronto-Danforth,"Phone:Micheline Richard, 416-463-1413"
Fraser Mustard Early Learning Centre,82 Thorncliffe Park Dr (Overlea/Thorncliffe Pk Dr.)Ward: Don Valley West,"Phone:Sophia Creary, 416-421-7676"
Fraser School - Community Day Care Centre,79 Manning Ave (Queen W. / Bathurst)Ward: Spadina-Fort York,"Phone:Maria Lawrence, 416-603-7372"
French Connection,40 Erskine Ave (Yonge / Eglinton)Ward: Don Valley West,"Phone:Mariam Roghani, 416-485-1678"
Friendly Little Campus (2037711 Ontario Ltd),"3255 Lawrence Ave E ,A (Lawrence E. / McCowan)Ward: Scarborough Centre","Phone:Arosha Karunathilake, 416-431-3233"
Friendly Little Campus Daycare 2,63 Orchard Park Dr (Kingston Rd. / Morningside)Ward: Scarborough-Rouge Park,"Phone:Salma Rahman, 416-282-5556"
Friends Day Care Centre,60 Lowther Ave (Bloor / Bedford)Ward: University-Rosedale,"Phone:Lorna Meggitt, 416-922-7022"
Future Stars Child Care Centre,3895 Lawrence Ave E (Lawrence E. / Orton Park)Ward: Scarborough-Guildwood,"Phone:Tamiko Gray, 416-431-3898"
Galloway Early Learning & Child Care Centre,4299 Kingston Rd (Galloway / Kingston Rd.)Ward: Scarborough-Guildwood,"Phone:Victoria Moosaie, 416-392-5229"
Gan Chabad Preschool,"Toronto Children's Services Consultant, Dhurata Beqo, 416-338-5894, is the City contact for this centre.Every Child Belongs Resource Consultation Staff, Haleh Kossar, 437-326-8943, is available to help this centre and the family when a child has anextra supportneed.To contact the child care centre directly, please call the child care contact listed at the top of this page.","Phone:Leanne Boros, 416-635-9696"
Gan Sameach,585 Glengrove Ave (Eglinton Ave / Glengrove Ave W)Ward: Eglinton-Lawrence,"Phone:Sarah Binder, 416-826-7955"
Gan Shalom Preschool (OpChabad On The Avenue),157 Falkirk StWard: Eglinton-Lawrence,"Phone:Chana Gansburg, 416-546-8770"
Gan Shalom Preschool (South),396 Cortleigh Blvd (Bathurst St / Lawrence Ave W)Ward: Eglinton-Lawrence,"Phone:Chana Marsow, 416-546-8770"
Gan Yeladim Day Care Centre,100 Elder St (Sheppard W / Wilmington Ave.)Ward: York Centre,"Phone:Galina Bagga, 416-638-1796"
Garderie Chez Tante Laure,"Every Child Belongs Resource Consultation Staff, Tanya Katala Ibalama, 416-906-3372, is available to help this centre and the family when a child has anextra supportneed.","Phone:Ntumba Jackie Badibanga, 416-284-7185"
Garderie Chez Tante Laure 2,255 Coronation DrWard: Scarborough-Rouge Park,"Phone:Geannine Kabila, 416-283-0060"
Garderie Du Cercle De L'Amitie - Etobicoke,30 Thistle Down Blvd (Islington & Albion)Ward: Etobicoke North,"Phone:Nrushago Mbanianga, 416-740-1074"
Garderie Du Soleil Levant,116 Cornelius Pky (Keele St/ Lawrence West)Ward: York South-Weston,"Phone:Sifa Mujynya Mupipi, 416-551-7072"
Garderie La Farandole De Toronto - Gabrielle Roy,14 Pembroke St (Jarvis / Shuter)Ward: Toronto Centre,"Phone:Charleine Mujynya, 647-426-4456"
Garderie La Farandole Felix-Leclerc,50 Celestine Dr (Kipling / Dixon)Ward: Etobicoke Centre,"Phone:Bibi Lollmohamud, 647-438-9139"
Garderie La Farandole - Pierre Elliott Trudeau,77 Grace St (Bathurst / College)Ward: University-Rosedale,"Phone:Salimata Diallo, 416-603-6062"
Garderie Mon Petit Jardin,"ThisFrench language, non-profit, licensed child care,serves children 0 to 12 years.It is located in Ecole St. Jean De Lalande.A child carefee subsidymay be available to help you with the cost of child care.This location participates in theCanada-Wide Early Learning and Child Caresystem.","Phone:Yalda Lie Chatelain Aristilde, 416-397-6982"
Garderie Rayon De Soleil,1 Ness Dr (York Mills / Victoria Pk.)Ward: Don Valley East,"Phone:Agnes Sesboue, 416-444-3464"
Garfield Avenue Children's Circle,1 1/2 Garfield Ave (Mount Pleasant / St. Clair E.)Ward: University-Rosedale,"Phone:Maria Samuels, 416-963-9242"
Garrison Creek Community Day Care,222 Niagara St (King W. / Bathurst)Ward: Spadina-Fort York,"Phone:Rana Said, 416-703-0541"
Gateway Day Care Centre,"Every Child Belongs Resource Consultation Staff, Mason Mao, 416-392-0946, is available to help this centre and the family when a child has anextra supportneed.","Phone:Pricella Rasanayagam, 416-424-2419"
General Mercer Early Learning Centre,30 Turnberry Ave (Old Weston/St. Clair)Ward: Davenport,"Phone:Lasheka Packkiyarajah, 416-658-1699"
George Brown - Casa Loma Child Care Centre,160 Kendal Ave (Davenport / Spadina)Ward: Toronto-St. Paul's,"Phone:Laura Alexopoulos, 416-415-4616"
George Brown College - Mary's Place Child Care Centre,"Every Child Belongs Resource Consultation Staff, Vivian Lin, 416-603-1827, Ext. 4221, is available to help this centre and the family when a child has anextra supportneed.","Phone:Stephanie Dritsas, 416-415-5000 ext 4301"
George Brown - Dennis Avenue Child Care Centre,17 Dennis Ave (Eglinton / Weston Road)Ward: York South-Weston,"Phone:Eftychia Ntanou, 647-289-1392"
George Brown - Dundas Street East Child Care Centre,935 Dundas St E (Dundas / Broadview)Ward: Toronto-Danforth,"Phone:Raizell Slobodsky, 416-415-2453"
